Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,118.470001,127.220001,116.519997,125.489998,124.462509,36874400
2021-06-28,128.699997,132.500000,127.279999,128.149994,127.100723,39955500
2021-07-05,128.100006,128.975998,119.389999,125.620003,124.591446,32654100
2021-07-12,126.239998,127.400002,114.459000,116.529999,115.575874,41441800
2021-07-19,113.919998,123.419998,113.269997,122.430000,121.427567,33477700
2021-07-26,122.500000,123.230003,115.583000,120.000000,119.017464,31618300
2021-08-02,120.540001,126.250000,118.519997,123.010002,122.002815,28566300
2021-08-09,123.629997,125.570000,119.360001,120.099998,119.116638,23216900
2021-08-16,119.250000,119.300003,113.540001,115.800003,114.851852,32509600
2021-08-23,116.989998,122.389999,116.860001,122.029999,121.030838,23771000
2021-08-30,122.239998,125.610001,120.720001,125.070000,124.045944,18720500
2021-09-06,125.209999,126.320000,120.370003,120.459999,119.473694,17511200
2021-09-13,120.720001,121.500000,115.599998,121.500000,120.505180,29380900
2021-09-20,116.970001,119.519997,114.440002,117.129997,116.170959,27980700
2021-09-27,116.510002,117.269997,109.139999,111.169998,110.259758,43099600
2021-10-04,110.720001,113.379997,106.349998,110.599998,109.694427,27517400
2021-10-11,110.190002,116.580002,109.760002,115.800003,114.851852,20742900
2021-10-18,115.029999,120.760002,114.940002,117.750000,116.785881,22652000
2021-10-25,118.589996,124.449997,117.801003,121.279999,120.286980,28239300
2021-11-01,121.930000,125.860001,121.019997,122.290001,121.288712,29284000
2021-11-08,121.690002,124.300003,115.199997,118.489998,117.519821,24823600
2021-11-15,118.849998,119.050003,113.010002,113.239998,112.312805,22739500
2021-11-22,113.400002,113.510002,103.580002,107.120003,106.242920,33244900
2021-11-29,108.550003,108.879997,91.660004,93.529999,92.764191,61069800
2021-12-06,92.029999,103.919998,89.029999,96.169998,95.382576,71337700
2021-12-13,95.790001,97.510002,89.599998,97.199997,96.404137,101032900
2021-12-20,95.000000,99.879997,93.279999,99.070000,98.258835,45349200
2021-12-27,98.699997,99.139999,92.779999,94.589996,93.815506,43515500
2022-01-03,96.000000,97.169998,82.650002,84.419998,84.419998,85063600
2022-01-10,83.223000,89.339996,77.529999,80.239998,80.239998,107798700
2022-01-17,78.739998,80.839996,71.489998,71.519997,71.519997,117649800
2022-01-24,68.589996,74.910004,64.349998,68.910004,68.910004,197569400
2022-01-31,70.059998,77.559998,68.199997,72.750000,72.750000,143876000
2022-02-07,72.669998,78.250000,70.459999,71.900002,71.900002,123104100
2022-02-14,71.540001,75.389999,63.990002,64.800003,64.800003,103469900
2022-02-21,63.450001,67.820000,57.500000,67.820000,67.820000,110128800
2022-02-28,68.070000,71.379997,59.700001,60.230000,60.230000,110998400
